course_basic_ID,course_sp_ID,course_name,department,semester,recommended_term,category,credit,beg_week,last_week,teacher,classroom,limits,prereq_ID
CHIN0031122011,01,语言学概论,中国语言文学系,春季学期,2,学科基础课,4.5,1,14,徐睿欣,外语楼320,50,
CHIN0031122011,05,语言学概论,中国语言文学系,春季学期,2,学科基础课,4.5,1,14,宋静昕,外语楼502,70,
AINT0031162019,02,智能机器人案例研究,人工智能学院,春季学期,6,专业必修课,4,1,14,高博洁,实验楼102,50,
AINT0031162019,04,智能机器人案例研究,人工智能学院,春季学期,6,专业必修课,4,1,14,梁璐悦,理科楼329,60,
COMM0031122026,03,网络舆情分析,传播学院,春季学期,2,学科基础课,5,1,14,高雯悦,法商楼129,90,
COMM0031122026,04,网络舆情分析,传播学院,春季学期,2,学科基础课,5,1,14,赵芳伟,法商楼302,100,
LIBR0031182020,01,信息政策与法规案例研究,信息管理系,春季学期,8,专业必修课,4,3,12,王宁晨,法商楼407,45,LIBR0031132002
LIBR0031182020,03,信息政策与法规案例研究,信息管理系,春季学期,8,专业必修课,4,3,12,谢峰宁,公管楼120,45,LIBR0031132002
PUBA0031122001,03,公共管理学课程设计,公共管理学院,春季学期,2,专业必修课,4,1,16,孙悦洋,法商楼319,120,
PUBA0031162016,01,非营利组织管理,公共管理学院,春季学期,6,专业必修课,4,5,10,周楠琳,法商楼518,110,PUBA0031132006
PUBA0031162016,03,非营利组织管理,公共管理学院,春季学期,6,专业必修课,4,5,10,刘峰博,公管楼512,110,PUBA0031132006
CLAS0031142021,03,古代地中海史案例研究,古典文明研究中心,春季学期,4,专业必修课,4,1,14,谢伟雯,中文楼517,80,CLAS0031132017
GEOG0031122008,05,自然地理学案例研究,地理科学学院,春季学期,2,学科基础课,5,1,12,郑芳欣,实验楼119,100,
GEOG0031122015,02,地图学专题,地理科学学院,春季学期,2,学科基础课,4.5,5,10,高昕峰,综合楼301,70,
GEOG0031122015,04,地图学专题,地理科学学院,春季学期,2,学科基础课,4.5,5,10,朱晨宁,综合楼528,70,
URBN0031122022,01,乡村振兴规划专题,城市与区域科学学院,春季学期,2,专业必修课,4,1,14,高博洁,实验楼426,30,
URBN0031142008,02,城市治理专题,城市与区域科学学院,春季学期,4,专业必修课,4,1,16,宋伟璐,信息楼129,80,
URBN0031142008,03,城市治理专题,城市与区域科学学院,春季学期,4,专业必修课,4,1,16,孙峰楠,理科楼413,50,
LANG0031122001,03,语言与人工智能课程设计,外语学院,春季学期,2,学科基础课,4.5,1,16,刘佳雯,人文楼509,100,
PREE0031122016,02,幼儿园课程,学前教育系,春季学期,2,专业必修课,4,1,16,杨华雯,教一220,20,
PREE0031122016,03,幼儿园课程,学前教育系,春季学期,2,专业必修课,4,1,16,林华雯,教一528,40,
PREE0031162015,01,学前儿童科学教育,学前教育系,春季学期,6,专业必修课,4,5,10,何睿欣,教一126,20,PREE0031152011;PREE0031152002
PRIM0031142010,01,少先队活动设计专题,小学教育系,春季学期,4,专业必修课,4,1,12,高然琳,实验幼教楼325,65,PSYC0031122009
PRIM0031142010,03,少先队活动设计专题,小学教育系,春季学期,4,专业必修课,4,1,12,吴佳璐,教二225,65,PSYC0031122009
PRIM0031142010,04,少先队活动设计专题,小学教育系,春季学期,4,专业必修课,4,1,12,郭伟宁,教一322,65,PSYC0031122009
PSYC0031122013,01,咨询心理学,心理与认知科学学院,春季学期,2,学科基础课,4,1,16,宋峰昕,教二103,65,
PSYC0031122023,01,咨询心理学专题,心理与认知科学学院,春季学期,2,学科基础课,5,1,16,梁敏琳,实验幼教楼406,80,
PSYC0031182004,01,学校心理辅导专题,心理与认知科学学院,春季学期,8,专业必修课,4,3,12,罗佳楠,教二528,90,
PSYC0031182004,04,学校心理辅导专题,心理与认知科学学院,春季学期,8,专业必修课,4,3,12,何楠静,教一206,120,
TEAC0031122003,02,课堂教学技能专题,教师教育学院,春季学期,2,学科基础课,5,1,16,郑宁静,田家炳楼522,90,
TEAC0031122003,03,课堂教学技能专题,教师教育学院,春季学期,2,学科基础课,5,1,16,王杰伟,教一524,100,
TEAC0031182021,03,教育政策法规课程设计,教师教育学院,春季学期,8,专业必修课,4,5,10,李伟芳,田家炳楼520,70,
DATA0031122002,03,知识图谱课程设计,数据科学与工程学院,春季学期,2,学科基础课,5,1,16,赵杰佳,实验楼227,120,
DATA0031122009,01,数据仓库与数据挖掘专题,数据科学与工程学院,春季学期,2,专业必修课,4,1,16,胡雯静,信息楼419,55,
DATA0031122009,02,数据仓库与数据挖掘专题,数据科学与工程学院,春季学期,2,专业必修课,4,1,16,谢磊敏,信息楼406,55,
LAWS0031122008,01,教育法学课程设计,法学院,春季学期,2,学科基础课,4,1,16,马芳磊,社科楼422,30,
LAWS0031122008,02,教育法学课程设计,法学院,春季学期,2,学科基础课,4,1,16,刘宇敏,社科楼114,50,
LAWS0031122008,03,教育法学课程设计,法学院,春季学期,2,学科基础课,4,1,16,赵洋欣,社科楼504,40,
LAWS0031182020,02,法律文书写作专题,法学院,春季学期,8,专业必修课,4,1,16,林洁芳,公管楼122,40,PHIL0031172020
LAWS0031182020,03,法律文书写作专题,法学院,春季学期,8,专业必修课,4,1,16,梁璐佳,社科楼502,50,PHIL0031172020
COMS0031161000,01,大学物理B（二）,物理与电子科学学院,春季学期,2,学科基础课,4,1,16,吴静楠,综合楼404,90,COMS0031161001
COMS0031161000,02,大学物理B（二）,物理与电子科学学院,春季学期,2,学科基础课,4,1,16,赵敏洁,综合楼205,100,COMS0031161001
PHYS0031122003,02,半导体物理,物理与电子科学学院,春季学期,2,专业必修课,4,1,14,周宁磊,综合楼317,50,
SPED0031182024,01,个别化教育计划案例研究,特殊教育系,春季学期,8,专业必修课,4,5,10,朱佳昕,田家炳楼401,60,PSYC0031162018;PSYC0031142021
SPED0031182024,02,个别化教育计划案例研究,特殊教育系,春季学期,8,专业必修课,4,5,10,高然华,教一126,50,PSYC0031162018;PSYC0031142021
SPED0031182024,03,个别化教育计划案例研究,特殊教育系,春季学期,8,专业必修课,4,5,10,郑明洁,实验幼教楼326,50,PSYC0031162018;PSYC0031142021
BIOL0031122003,01,遗传学,生命科学学院,春季学期,2,学科基础课,4,1,14,何睿伟,综合楼517,35,
